Parsing,Grounding,Solving,Episode
0.0938,0.0312,0.0000,0
0.0938,0.0312,0.0000,1
0.0781,0.0156,0.0156,2
0.0938,0.0312,0.0000,3
0.0781,0.0156,0.0156,4
0.0781,0.0312,0.0156,5
0.0938,0.0312,0.0000,6
0.0938,0.0312,0.0000,7
0.0938,0.0312,0.0000,8
0.0938,0.0312,0.0000,9
0.0781,0.0312,0.0156,10
0.0938,0.0312,0.0000,11
0.0781,0.0312,0.0000,12
0.0938,0.0156,0.0156,13
0.0781,0.0312,0.0156,14
0.0938,0.0312,0.0000,15
0.0781,0.0156,0.0156,16
0.0781,0.0156,0.0156,17
0.0781,0.0312,0.0156,18
0.0938,0.0156,0.0156,19
0.0938,0.0312,0.0000,20
0.0938,0.0312,0.0000,21
0.0781,0.0312,0.0156,22
0.0938,0.0312,0.0000,23
0.0938,0.0312,0.0000,24
0.0938,0.0156,0.0156,25
0.0938,0.0156,0.0156,26
0.0938,0.0156,0.0156,27
0.0781,0.0156,0.0156,28
0.0938,0.0312,0.0000,29
0.0938,0.0312,0.0000,30
0.0938,0.0312,0.0000,31
0.0781,0.0312,0.0156,32
0.0781,0.0156,0.0156,33
0.0938,0.0312,0.0000,34
0.0781,0.0156,0.0156,35
0.0938,0.0312,0.0000,36
0.0781,0.0312,0.0156,37
0.0938,0.0312,0.0000,38
0.0938,0.0156,0.0156,39
0.0938,0.0156,0.0156,40
0.0938,0.0312,0.0000,41
0.0781,0.0156,0.0156,42
0.0781,0.0312,0.0156,43
0.0938,0.0312,0.0000,44
0.0938,0.0312,0.0000,45
0.0781,0.0312,0.0156,46
0.0938,0.0312,0.0000,47
0.0781,0.0156,0.0156,48
0.0938,0.0312,0.0000,49
